,shannon,simpson,richness
kruskal_wallis,"{'statistic': np.float64(0.11804701222524727), 'p_value': np.float64(0.9426846100460512)}","{'statistic': np.float64(0.5837356742882776), 'p_value': np.float64(0.7468672375579367)}","{'statistic': np.float64(58.438973766186194), 'p_value': np.float64(2.0423872123374488e-13)}"
effect_size,3.591321220288131e-09,1.775887652379167e-08,1.777877496618922e-06
