,kruskal_stat,kruskal_pval,age_correlation,age_correlation_pval
shannon,0.035472063114525554,0.9824203260977062,0.026034937093392187,0.642659748312085
simpson,0.641574959709942,0.7255774344276119,-0.0022032846937268904,0.9686836030882933
richness,58.438973766186194,2.0423872123374488e-13,0.47334759101052454,2.8410728286115523e-19
