,shannon,simpson,richness
summary_stats,"{'count': 320.0, 'mean': 3.0046956923552814, 'std': 0.4398537210348508, 'min': 0.9022341879771084, '25%': 2.8265821268882427, '50%': 3.085748496500842, '75%': 3.2869148998526985, 'max': 3.733805977251296}","{'count': 320.0, 'mean': 0.8942642411068757, 'std': 0.08178997264649418, 'min': 0.32856853670676023, '25%': 0.8817510846579876, '50%': 0.9176171870706851, '75%': 0.9375619191664225, 'max': 0.96463327404476}","{'count': 320.0, 'mean': 106.08125, 'std': 20.934281966239155, 'min': 16.0, '25%': 93.0, '50%': 107.0, '75%': 119.0, 'max': 171.0}"
normality_test,"{'statistic': np.float64(106.65009696483672), 'pvalue': np.float64(6.937862635142843e-24)}","{'statistic': np.float64(276.570684669471), 'pvalue': np.float64(8.778875619633456e-61)}","{'statistic': np.float64(15.101072466910978), 'pvalue': np.float64(0.0005258280848916288)}"
