,0_n,0_s,0_p,1_n,1_s,1_p,2_n,2_s,2_p,3_n,3_s,3_p,4_n,4_s,4_p,5_n,5_s,5_p,6_n,6_s,6_p,7_n,7_s,7_p,8_n,8_s,8_p,9_n,9_s,9_p,10_n,10_s,10_p,11_n,11_s,11_p,12_n,12_s,12_p,13_n,13_s,13_p
84,CD137|TNFRSF9|AHS0003|pAbO,6.8943787,1.886588629692512e-11,CD79A,0.6873535,0.6825811990284659,VNN2,7.1959324,2.457324059386466e-12,UBE2C,1.6494088,0.18975619936603505,SPP1,-0.010434265,0.99542695152888,XBP1,2.883004,0.009982124955376433,IL18RAP,0.32402807,0.9942011695890447,YBX3,2.6231322,0.022933674508447344,ENTPD1,4.2618113,8.032317987714829e-05,HAVCR2,1.9000512,0.15214266169659185,CTSG,-0.0068346285,0.9945467979313188,CPA3,-0.006760284,0.9946061148814781,IL15RA,0.13031745,0.9967477841110466,STAT5A,0.15806307,0.9979517131765093
85,IGBP1,6.8704853,2.2123258636703575e-11,TYMS,0.6792254,0.6873694597134018,BTG1,7.1701674,2.938619240316719e-12,KLRC3,1.6411896,0.19209950814226073,IGHE_secreted,-0.010434265,0.99542695152888,ITGAX,2.820096,0.01187139038457568,IKZF1,0.28434682,0.9942011695890447,TLR2,2.5751452,0.02571119277732031,STAT3,4.225847,9.338652760476195e-05,DOCK8,1.8727851,0.16082586293494772,TPSAB1,-0.0068346285,0.9945467979313188,CHI3L1,-0.006760284,0.9946061148814781,TRIB2,0.115061335,0.9967477841110466,IL12RB1,0.15072836,0.9979517131765093
86,STAT6,6.5925093,1.47034383049363e-10,CD70,0.67381954,0.6897764234515257,DOCK8,6.9780006,1.152446383771802e-11,CD25:2A3|IL2RA|AHS0026|pAbO,1.6298163,0.19434108143372528,CTSG,-0.010434265,0.99542695152888,NCAM1,2.6071455,0.021912126175702092,CCR5,0.2514029,0.9942011695890447,TNF,2.5373993,0.028126688127469532,LIPA,4.1347833,0.00013805555429196963,CCR5,1.8238133,0.17831768767866918,IL13,-0.013669257,0.9945467979313188,CLC,-0.013520568,0.9946061148814781,TOP2A,0.11156757,0.9967477841110466,PCNA,0.14449385,0.9979517131765093
87,KDELR1,6.523431,2.317069412496508e-10,CXCR6,0.6518074,0.7044508723333694,ITGA4,6.708037,7.316548901113026e-11,CD127|IL7R|AHS0028|pAbO,1.6229349,0.19577131867914915,CCL19,-0.02086853,0.99542695152888,CXCR3,2.3954415,0.03870255869385954,ICOS,0.20079343,0.9942011695890447,CNOT2,2.312914,0.0509443933847475,FYN,3.889174,0.0003697215069735388,CMKLR1,1.8050554,0.1841085392159289,CCL19,-0.013669257,0.9945467979313188,CSF2,-0.013520568,0.9946061148814781,CD27,0.10166857,0.9967477841110466,CD9,0.09791842,0.9979517131765093
88,HLA-DQB1,6.4500513,3.7392985757202495e-10,TOP2A,0.6446516,0.704659492717778,GIMAP2,6.5938344,1.5475458766660014e-10,PTPRC,1.6140944,0.19842389647132627,IL13,-0.02086853,0.99542695152888,CD3E,2.3383157,0.044651500508975414,IL12A,0.15437487,0.9942011695890447,BCL6,2.2346716,0.06034346455716491,IFITM2,3.8862302,0.00037089002522443725,IFITM2,1.7637208,0.19833645201827413,AOC3,-0.013669257,0.9945467979313188,AOC3,-0.013520568,0.9946061148814781,MCM4,0.090604976,0.9967477841110466,CXCL2,0.061061487,0.9979517131765093
89,ENTPD1,6.438665,3.9980396079450653e-10,IL12RB2,0.61556137,0.7246834870741187,ICAM1,6.4284797,4.572669958531661e-10,AURKB,1.5821251,0.2107153484270365,CSF2,-0.02086853,0.99542695152888,HAVCR2,2.1636486,0.06798064699960696,CXCR2,0.15331388,0.9942011695890447,LAMP1,2.1598237,0.07136828925732251,ICAM1,3.8482177,0.00042959244872914105,PSEN1,1.7575574,0.1997498075076587,IGHG4_secreted,-0.013669257,0.9945467979313188,CCL19,-0.013520568,0.9946061148814781,MCM2,0.076629914,0.9967477841110466,FOXP1,0.043458175,0.9979517131765093
90,BCL6,6.361381,6.474503795763953e-10,IKZF2,0.58577114,0.7464785889004834,MGST1,6.399573,5.480290720519253e-10,LEF1,1.5719465,0.21408546963526212,IGHG4_secreted,-0.02086853,0.99542695152888,EOMES,2.052837,0.08793586227050632,TNFSF14,0.13782333,0.9942011695890447,NINJ2,1.7754011,0.1654509167863345,F13A1,3.823004,0.00046772968370103346,PDIA4,1.7342439,0.20872174916050562,CSF2,-0.013669257,0.9945467979313188,IL13,-0.013520568,0.9946061148814781,FUT4,0.0749995,0.9967477841110466,TGFB1,0.035206623,0.9979517131765093
91,PTPRC,6.2180552,1.6044417567629077e-09,UBE2C,0.54400253,0.7743281748689486,IRF8,6.361324,6.975133947370868e-10,CD137|TNFRSF9|AHS0003|pAbO,1.4010609,0.28105944190693544,CLC,-0.02086853,0.99542695152888,B3GAT1,1.9844455,0.10244750188776518,RORC,0.13570134,0.9942011695890447,PDIA4,1.697042,0.19361376607088027,BCL6,3.7689931,0.0005619681695751801,STAT3,1.7126722,0.21587393739960406,CCL1,-0.013669257,0.9945467979313188,IGHG4_secreted,-0.013520568,0.9946061148814781,AURKB,0.069176555,0.9967477841110466,CCR7,0.025671497,0.9979517131765093
92,CXCR6|CXCR6|AHS0148|pAbO,6.1525555,2.3928952736436695e-09,CCR8,0.47827733,0.8191769967118868,F13A1,6.251143,1.3970032425818677e-09,CCL3,1.3829019,0.28941078131613335,AOC3,-0.02086853,0.99542695152888,KLRG1,1.9586741,0.10803173038611007,CD274,0.10806241,0.9942011695890447,IL12RB1,1.6583598,0.20772726794972107,BTG1,3.7615058,0.000574237797639358,STAT1,1.6978668,0.2191719856263372,CLC,-0.013669257,0.9945467979313188,CCL1,-0.013520568,0.9946061148814781,BACH2,0.061723188,0.9967477841110466,IGBP1,0.01356922,0.9979517131765093
93,IL18,6.121613,2.8631916703201914e-09,CD274,0.44980937,0.8328817335189725,PDIA6,6.1530695,2.56255638036654e-09,RORA,1.315188,0.323051498987944,CCL1,-0.02086853,0.99542695152888,TRIB2,1.9573282,0.10803173038611007,MMP9,0.096338406,0.9942011695890447,IL15,1.5200168,0.2675038464547089,FYB,3.6241746,0.0009694537952092161,FOSB,1.6969289,0.2191719856263372,IFNA1,-0.020503886,0.9945467979313188,IL22,-0.020280851,0.9946061148814781,CD278|ICOS|AHS0012|pAbO,0.020729674,0.9967477841110466,IGLC3,0.0027505176,0.9979517131765093
94,CXCL5,5.9295964,9.110393700408197e-09,TNF,0.4333586,0.8449212996216872,BCL6,6.1377783,2.7985940471408816e-09,CD28,1.3019989,0.32795849282863154,CCR9,-0.031302795,0.99542695152888,LAMP1,1.9528917,0.10858444750928255,TMEM97,0.08689554,0.9942011695890447,STAT3,1.4365078,0.30621903678144385,IRF8,3.4304006,0.0019515695022455748,KDELR1,1.6563312,0.23437141750208174,IL22,-0.020503886,0.9945467979313188,IL4,-0.020280851,0.9946061148814781,LTA,0.018400498,0.9967477841110466,CTSG,-0.0025671497,0.9979517131765093
95,PDIA6,5.927753,9.145984658221554e-09,LIF,0.3797284,0.8845916025372209,IL1RN,6.132751,2.865028060533763e-09,PCNA,1.2817373,0.3370801825618849,IL4,-0.031302795,0.99542695152888,RORA,1.8830049,0.12555399939959613,KLRC3,0.068434216,0.9942011695890447,IL23R,1.4109342,0.3179108688332646,IL1RN,3.3330657,0.0027594500534169142,CXCL2,1.6503019,0.2359270908710363,IL4,-0.020503886,0.9945467979313188,IFNA1,-0.020280851,0.9946061148814781,CPA3,-0.0040760594,0.9967477841110466,CCL17,-0.0025671497,0.9979517131765093
96,TREM1,5.824479,1.693821087822296e-08,CCR5,0.34667134,0.9038480353654776,RNASE2,5.861363,1.4984465249358148e-08,CD160,1.2250621,0.3672862581662841,CCR3,-0.04173706,0.99542695152888,IL12RB2,1.8748797,0.1265825589303429,CXCR1,0.05835476,0.9942011695890447,TLR7,1.4042044,0.3189525285169487,KDELR1,3.2786708,0.0032733283926237103,PCNA,1.6195521,0.2484048147711652,IL3,-0.027338514,0.9945467979313188,CCR9,-0.020280851,0.9946061148814781,TPSAB1,-0.0040760594,0.9967477841110466,CHI3L1,-0.0025671497,0.9979517131765093
97,STAT3,5.4171305,1.7524637600900546e-07,IL18R1,0.3276149,0.9160929294487141,ENTPD1,5.849214,1.599300534096914e-08,CCR7|CCR7|AHS0273|pAbO,1.2051829,0.3783664552930613,MMP9,-0.04173706,0.99542695152888,CD19:SJ25C1|CD19|AHS0030|pAbO,1.786599,0.14800461656669583,KIT,0.0483814,0.9942011695890447,FUT4,1.3702039,0.33468414611020814,STAT5A,3.2714396,0.0033325655344676438,ATF6B,1.5920181,0.2611683898701453,CCL20,-0.027338514,0.9945467979313188,AIM2,-0.022582226,0.9946061148814781,CTSG,-0.0040760594,0.9967477841110466,SPP1,-0.0025671497,0.9979517131765093
98,ITGA4,5.3856096,2.0744622050585763e-07,MME,0.295219,0.9244674365157041,STAT3,5.720139,3.392676315531378e-08,CD134:ACT35|TNFRSF4|AHS0013|pAbO,1.143968,0.41395928072590327,CD80,-0.04173706,0.99542695152888,ZBTB16,1.6182626,0.19764792327703157,CD19:SJ25C1|CD19|AHS0030|pAbO,0.036233,0.9942011695890447,C1QB,1.3559833,0.3418307734163796,XBP1,3.2608805,0.003432975557661304,CCR1,1.5691736,0.2718620746609563,CCR3,-0.027338514,0.9945467979313188,IL3,-0.027041135,0.9946061148814781,SPP1,-0.0040760594,0.9967477841110466,TPSAB1,-0.0025671497,0.9979517131765093
99,STAT5A,5.3465705,2.557459717148232e-07,MKI67,0.27962384,0.9329752905386982,KDELR1,5.708409,3.606759815348402e-08,TRIB2,1.1076978,0.43395922083512967,CCL20,-0.04173706,0.99542695152888,CTSD,1.4770435,0.2510259806390304,CCR10,0.030026177,0.9942011695890447,STAT1,1.3428161,0.34676427261456827,CXCL2,3.2435381,0.0036215378903254837,STAT6,1.5260302,0.294414555047039,MMP9,-0.027338514,0.9945467979313188,CCL20,-0.027041135,0.9946061148814781,CHI3L1,-0.0040760594,0.9967477841110466,IGHE_secreted,-0.0025671497,0.9979517131765093
100,IFITM2,5.1666994,6.704256583141975e-07,IL4,0.25317818,0.9517587484301632,VEGFA,5.598563,6.73155095038646e-08,KLRC4,1.1076022,0.43395922083512967,IL3,-0.04173706,0.99542695152888,PRDM1,1.4697658,0.2523278815013646,MCM2,0.02652489,0.9942011695890447,IGBP1,1.2864021,0.37113541492075874,STAT6,3.2180045,0.003906485989468864,CCR2,1.4471796,0.33888443233821003,CD80,-0.027338514,0.9945467979313188,CCR3,-0.027041135,0.9946061148814781,CCL17,-0.0040760594,0.9967477841110466,CPA3,-0.0025671497,0.9979517131765093
101,BCL2A1,5.093428,9.826837930674781e-07,IL2,0.22509913,0.9709168500787803,XBP1,5.456208,1.4921448785924904e-07,CD70,1.0675569,0.4607665443835304,CCL22,-0.052171323,0.99542695152888,IKZF2,1.3325344,0.31582766736930734,KLRC1,0.020052817,0.9942011695890447,CD45RA:HI100|PTPRC|AHS0009|pAbO,1.2184596,0.41365518013143165,FAM65B,3.2087893,0.003998854009418902,IL4R,1.3722816,0.38127838850732565,IL2,-0.034173142,0.9945467979313188,MMP9,-0.027041135,0.9946061148814781,IL13,-0.008152119,0.9967477841110466,IGHD_membrane,-0.004584196,0.9979517131765093
102,TNFSF8,5.02829,1.3642458844135213e-06,MCM2,0.22175454,0.9709168500787803,GAB2,5.4524374,1.512766763069473e-07,PASK,1.061249,0.4635405791578074,TMEM97,-0.052171323,0.99542695152888,CD8A,1.2576629,0.3559564480324932,IL12RB2,0.018885722,0.9942011695890447,FOXO1,1.2056435,0.42083990234297197,CLEC4D,3.1543944,0.004789729124006678,ARL4C,1.3719466,0.38127838850732565,TMEM97,-0.034173142,0.9945467979313188,CCL22,-0.03380142,0.9946061148814781,CCL19,-0.008152119,0.9967477841110466,CCL19,-0.0051342994,0.9979517131765093
103,CD62L:DREG-56|SELL|AHS0049|pAbO,4.621086,1.00482904125363e-05,HMMR,0.21063182,0.9709168500787803,JUN,5.4146075,1.8563484131815962e-07,CHI3L2,1.0459095,0.47296451500572034,CXCL9,-0.052171323,0.99542695152888,FAM65B,1.2196788,0.3768272330631264,ADGRG3,0.011352654,0.9942011695890447,BIRC3,1.2027761,0.4209806272231158,CD244,3.0859208,0.005830460976793667,CD1B,1.3620987,0.38607670510111275,CCL22,-0.034173142,0.9945467979313188,IL2,-0.03380142,0.9946061148814781,CCL1,-0.008152119,0.9967477841110466,IGHG4_secreted,-0.0051342994,0.9979517131765093
104,AQP9,4.607458,1.0660855078839076e-05,IRF4,0.20238699,0.9709168500787803,LIPA,5.364167,2.439704430957207e-07,MCM2,1.0083969,0.49926446742953684,IL2,-0.052171323,0.99542695152888,CXCR2,1.2113043,0.38065185328716844,NT5E,0.00970811,0.9942011695890447,PCNA,1.1034664,0.48284413229634354,PDIA6,3.027558,0.006985250623858921,CD244,1.3476282,0.39273860039073044,TNFRSF9,-0.034173142,0.9945467979313188,CXCL9,-0.03380142,0.9946061148814781,CSF2,-0.008152119,0.9967477841110466,CLC,-0.0051342994,0.9979517131765093
105,CX3CR1,4.300311,4.3222244870608545e-05,TNFSF14,0.1956978,0.9709168500787803,TNFSF8,5.3183775,3.117975373048668e-07,MKI67,0.9716966,0.5237605214971055,CD274,-0.053396005,0.99542695152888,CMKLR1,1.14062,0.42455708107144224,NCAM1,-0.00726782,0.9942011695890447,CCR1,1.0313104,0.5317986012551045,BPI,2.9242077,0.009456129379525039,BCL2A1,1.3466903,0.39273860039073044,CXCL9,-0.034173142,0.9945467979313188,TMEM97,-0.03380142,0.9946061148814781,CLC,-0.008152119,0.9967477841110466,CCL1,-0.0051342994,0.9979517131765093
106,BPI,4.2393303,5.611571653161274e-05,LRRC32,0.18325278,0.9709168500787803,CLEC4D,5.277531,3.8711541579157074e-07,CXCL13,0.9659622,0.5262461205296884,IL1RL1,-0.05398385,0.99542695152888,ADGRG3,1.1294042,0.4273715178910211,CHI3L1,-0.009495911,0.9942011695890447,GIMAP5,0.9983047,0.5557303923296038,PSEN1,2.891955,0.010384742365287143,CXCL10,1.2662989,0.4410823224174066,MME,-0.0478424,0.9945467979313188,TNFRSF9,-0.03380142,0.9946061148814781,AOC3,-0.008152119,0.9967477841110466,IL13,-0.0051342994,0.9979517131765093
107,PSEN1,4.1180544,9.44790114499447e-05,CLC,0.16878547,0.9709168500787803,CD137|TNFRSF9|AHS0003|pAbO,5.2496715,4.472461723597812e-07,BTG1,0.94727755,0.5378371229429076,MMP12,-0.07303985,0.99542695152888,CD279:EH12-1|PDCD1|AHS0014|pAbO,1.0825472,0.459015587793988,CCL17,-0.009495911,0.9942011695890447,VPS28,0.9904044,0.5590059788075236,VEGFA,2.7880285,0.014141302228990725,FAM65B,1.2524984,0.44475875816189886,CXCL11,-0.0478424,0.9945467979313188,CXCL11,-0.047321986,0.9946061148814781,IFNA1,-0.012228178,0.9967477841110466,AOC3,-0.0051342994,0.9979517131765093
108,PDIA4,4.063652,0.00011802873174092298,NRP1,0.1686299,0.9709168500787803,FYN,5.1849036,6.253872423353187e-07,DPP4,0.94139975,0.5395878275023338,CXCL11,-0.07303985,0.99542695152888,CHI3L2,0.99845374,0.5149533052786719,CPA3,-0.009495911,0.9942011695890447,IL18,0.9454605,0.5929321378450054,NINJ2,2.7056682,0.01805986313938149,RUNX3,1.2188009,0.4664167233877688,MMP12,-0.0478424,0.9945467979313188,MMP12,-0.047321986,0.9946061148814781,IL4,-0.012228178,0.9967477841110466,CSF2,-0.0051342994,0.9979517131765093
109,FAM65B,4.0487595,0.000125046751367876,IL22,0.15466815,0.975272204118197,IL4R,5.038108,1.322923374741682e-06,PDCD1,0.8964802,0.5653876848028747,TNFSF8,-0.081710584,0.99542695152888,LAT2,0.9467614,0.5543645288078047,SPP1,-0.009495911,0.9942011695890447,IL15RA,0.9315326,0.6027053681649615,IL18,2.6371944,0.021863276996869678,GAB2,1.162728,0.5061266949660849,CXCR1,-0.05467703,0.9945467979313188,CXCR1,-0.05408227,0.9946061148814781,IL22,-0.012228178,0.9967477841110466,IL4,-0.007701449,0.9979517131765093
110,IL4R,3.9452324,0.0001913342822542074,KLRB1,0.14408989,0.9816718203920959,IGBP1,4.954865,2.0089307671213585e-06,TNFRSF25,0.86799926,0.5845392230947563,CXCR1,-0.08347412,0.99542695152888,IFNG,0.90513843,0.5800776623716021,CTSG,-0.009495911,0.9942011695890447,LAT2,0.8261368,0.6724210024373498,CD52,2.5739684,0.026127451129674482,CXCL3,1.1544209,0.5091341592627499,CCR8,-0.05467703,0.9945467979313188,CCR8,-0.05408227,0.9946061148814781,CCR3,-0.016304238,0.9967477841110466,CCR9,-0.007701449,0.9979517131765093
111,CD244,3.9021444,0.00022616547465006877,CCL20,0.14055084,0.982102199798931,STAT5A,4.8315296,3.613018176026592e-06,IL18R1,0.86283827,0.5866531971974442,LRRC32,-0.08347412,0.99542695152888,CXCR1,0.80135506,0.6486987082997908,TPSAB1,-0.009495911,0.9942011695890447,IL4R,0.81893873,0.6742149914800286,GAB2,2.4571793,0.035708361288035624,IKZF1,1.1442379,0.5151509868778937,LIF,-0.05467703,0.9945467979313188,LRRC32,-0.05408227,0.9946061148814781,CD80,-0.016304238,0.9967477841110466,IL22,-0.007701449,0.9979517131765093
112,XBP1,3.8591285,0.0002668227555564218,RORA,0.1299337,0.988704069499205,ITGAE,4.450338,2.2714310144124673e-05,IL12RB1,0.8334016,0.6024972547634833,PTGDR2,-0.08611943,0.99542695152888,TCF7,0.72239596,0.7076783517518622,IGHE_secreted,-0.009495911,0.9942011695890447,LY86,0.81841207,0.6742149914800286,FOSB,2.3688674,0.044661344260068,IL12RB1,1.1123493,0.5345965666562692,LAMP3,-0.061511654,0.9945467979313188,LIF,-0.05408227,0.9946061148814781,IL3,-0.016304238,0.9967477841110466,CCL20,-0.010268599,0.9979517131765093
113,F5,3.7185862,0.0004618025971633668,PTGDR2,0.1082716,0.9912279254780149,EGR3,4.227588,6.177787813676994e-05,MCM4,0.80109775,0.6254152941101233,PMCH,-0.096014835,0.99542695152888,PCNA,0.67015535,0.7432085988710433,IGHG4_secreted,-0.018991822,0.9942011695890447,CMKLR1,0.81215036,0.6773537350137,CD137|TNFRSF9|AHS0003|pAbO,2.309417,0.052046000910851355,CD52,1.1038412,0.5351248011870671,KIT,-0.061511654,0.9945467979313188,KIT,-0.060842555,0.9946061148814781,MMP9,-0.016304238,0.9967477841110466,CCR3,-0.010268599,0.9979517131765093
114,CLEC4D,3.7154415,0.00046495775795857053,LAMP3,0.07058655,0.9912279254780149,CXCL5,4.193864,7.126818150644205e-05,HMMR,0.7516862,0.6566328467043577,EBF1,-0.11477692,0.99542695152888,TYMS,0.6428387,0.7587590905965436,AOC3,-0.018991822,0.9942011695890447,KDELR1,0.7794958,0.6971003350711182,CXCL16,2.255278,0.05963199607501549,FYB,1.0806617,0.5489319037711845,CCR10,-0.07518091,0.9945467979313188,LAMP3,-0.060842555,0.9946061148814781,CCL20,-0.016304238,0.9967477841110466,IL3,-0.010268599,0.9979517131765093
115,NINJ2,3.7041633,0.0004834219484379635,IL13,0.070392095,0.9912279254780149,IL15RA,4.1585894,8.183577720308443e-05,B3GAT1,0.7185222,0.681108240320123,CD70,-0.12844433,0.99542695152888,CD52,0.6345141,0.763359822258933,CSF2,-0.018991822,0.9942011695890447,HLA-DMA,0.7054086,0.7485735536625899,CXCL5,2.1750295,0.07238433888095352,CD4:SK3|CD4|AHS0032|pAbO,1.07691,0.5495710059105605,TGFB3,-0.07518091,0.9945467979313188,TGFB3,-0.07436313,0.9946061148814781,TMEM97,-0.020380298,0.9967477841110466,CD80,-0.010268599,0.9979517131765093
116,IL15RA,3.6708713,0.0005448828484574743,IGHG4_secreted,0.070392095,0.9912279254780149,IL15,4.1580863,8.183577720308443e-05,KLRC1,0.5599656,0.8096730336445193,CD209,-0.13564545,0.99542695152888,TNFSF14,0.6023622,0.7829778668197692,CCL1,-0.018991822,0.9942011695890447,ICAM1,0.7051745,0.7485735536625899,CD62L:DREG-56|SELL|AHS0049|pAbO,2.1654944,0.07370675986646279,TREM1,1.0700098,0.5529660769534733,IL12A,-0.082015544,0.9945467979313188,IL12A,-0.081123404,0.9946061148814781,CXCL9,-0.020380298,0.9967477841110466,MMP9,-0.010268599,0.9979517131765093
117,ADGRE1,3.6276748,0.0006411094442382549,AOC3,0.07031431,0.9912279254780149,THBS1,3.9926476,0.0001635494056737451,TXK,0.5451039,0.821162454309029,ADGRG3,-0.13564545,0.99542695152888,MCM2,0.5891026,0.7928786908031524,CLC,-0.018991822,0.9942011695890447,AQP9,0.62160695,0.8154297682801881,HLA-DQB1,2.1106515,0.08352546110762249,IL23R,1.0617027,0.5576077493748093,ADGRG3,-0.08885017,0.9945467979313188,CD209,-0.08788369,0.9946061148814781,TNFRSF9,-0.020380298,0.9967477841110466,TNFRSF9,-0.0128357485,0.9979517131765093
118,CD196|CCR6|AHS0034|pAbO,3.584117,0.0007540656590461605,BACH2,0.06720306,0.9912279254780149,CLEC10A,3.959049,0.00018720438476254778,BCL2,0.4789192,0.868570320031748,IGHG3_secreted,-0.13564545,0.99542695152888,BAX,0.5638796,0.8076880751816811,CCL19,-0.018991822,0.9942011695890447,RPN2,0.6066256,0.8237215224888728,ATF6B,1.9755601,0.11174707694311074,ADGRE1,1.0512518,0.5641619078238169,CD209,-0.08885017,0.9945467979313188,ADGRG3,-0.08788369,0.9946061148814781,IL2,-0.020380298,0.9967477841110466,CXCL9,-0.0128357485,0.9979517131765093
119,NAMPT,3.5204608,0.0009500836074318334,IL1RL1,0.05646924,0.9912279254780149,DUSP2,3.9024923,0.0002340034217810289,TNFSF14,0.4229131,0.902376103562404,TNFRSF17,-0.1460797,0.99542695152888,GIMAP5,0.5566018,0.8101106625494747,IL13,-0.018991822,0.9942011695890447,HAVCR2,0.6051041,0.8237215224888728,F5,1.9588577,0.11490347977935249,IL3RA,1.0453564,0.5645384251851604,CCR4,-0.08885017,0.9945467979313188,CCR4,-0.08788369,0.9946061148814781,CCL22,-0.020380298,0.9967477841110466,TMEM97,-0.0128357485,0.9979517131765093
120,IgD|IGHD|AHS0058|pAbO,3.3574347,0.0017072920847788246,CD80,0.04239082,0.9912279254780149,CXCR6|CXCR6|AHS0148|pAbO,3.569269,0.000844250652735155,FOXP1,0.36346632,0.9457368164036166,IL21,-0.1460797,0.99542695152888,CNOT2,0.54050094,0.8227789717920442,DPP4,-0.02445595,0.9942011695890447,CXCL10,0.586436,0.8333102031465931,IL15RA,1.9427952,0.1179594053948239,IRF4,1.0164825,0.5817284036635239,RORC,-0.0956848,0.9945467979313188,IL21,-0.09464397,0.9946061148814781,CD28:L293|CD28|AHS0138|pAbO,-0.0282995,0.9967477841110466,IL2,-0.0128357485,0.9979517131765093
121,SNCA,3.2262547,0.002707516525701622,MMP9,0.042157475,0.9912279254780149,ADGRE1,3.4593396,0.0012697283426634394,GITR|TNFRSF18|AHS0104|pAbO,0.33995524,0.9597026258135457,CR2,-0.1499007,0.99542695152888,MCM4,0.5089472,0.8447525639654644,IgM|IGHM|AHS0198|pAbO,-0.024509,0.9942011695890447,CXCL2,0.52750564,0.8869808711920482,TNFSF8,1.8999192,0.12948642277212843,CD37,0.9531073,0.6230429217089118,IL21,-0.0956848,0.9945467979313188,RORC,-0.09464397,0.9946061148814781,MME,-0.028532416,0.9967477841110466,CCL22,-0.0128357485,0.9979517131765093
122,HAVCR2,3.0845919,0.004354101304987665,CCR3,0.042157475,0.9912279254780149,F5,3.355359,0.0018270567040108085,HLA-A,0.33230934,0.964151819811107,IGHG1_membrane,-0.15651397,0.99542695152888,IKZF1,0.4870141,0.8574138116956421,TOP2A,-0.026418792,0.9942011695890447,FAS,0.50515074,0.9003194675808392,FLT3,1.7851138,0.16373559467666524,TNF,0.9448672,0.6278950536728901,IGHG1_membrane,-0.10251943,0.9945467979313188,C1QB,-0.10140426,0.9946061148814781,MMP12,-0.028532416,0.9967477841110466,MMP12,-0.017970048,0.9979517131765093
123,STAT1,3.0316715,0.0051680781248460315,CCL22,0.0283124,0.9912279254780149,STAT6,3.2343278,0.0027637327071272535,IL18RAP,0.3212228,0.9688919110292179,C1QB,-0.15651397,0.99542695152888,CD9,0.4468367,0.8790695104575801,CCR9,-0.028487733,0.9942011695890447,PIK3IP1,0.40115944,0.9641471238533583,ITGAE,1.7469734,0.17594608586653407,TNFSF8,0.92517126,0.6354169046685797,IL1RL1,-0.11618868,0.9945467979313188,IL1RL1,-0.114924826,0.9946061148814781,CXCL11,-0.028532416,0.9967477841110466,CXCL11,-0.017970048,0.9979517131765093
124,IL1RN,2.987969,0.005906284843833112,IGHM_secreted,0.025434492,0.9912279254780149,CD9,3.1029909,0.004247980690353542,KIR2DL1,0.31415036,0.9700172733221738,TLR9,-0.17870516,0.99542695152888,CXCR4,0.3854739,0.9181788439948017,IL4,-0.028487733,0.9942011695890447,IGHG1_secreted,0.3735962,0.971261276498304,ADGRE1,1.7161282,0.1869390280692815,TNFRSF8,0.9247693,0.6354169046685797,CD274,-0.11618868,0.9945467979313188,CD274,-0.114924826,0.9946061148814781,LIF,-0.032608476,0.9967477841110466,MME,-0.017970048,0.9979517131765093
125,ATF6B,2.7664196,0.01179776485585905,MMP12,7.778132e-05,0.9999379394863819,PSEN1,2.9726171,0.006511953565788734,IL12RB2,0.29312417,0.9786309157486645,PTTG2,-0.18149742,0.99542695152888,IL3,0.33776948,0.9521553943727472,IL22,-0.028487733,0.9942011695890447,CD44,0.30319577,0.9981223867297049,SNCA,1.6478466,0.21009706837398792,TGFB1,0.91807,0.6373386681151219,CD38,-0.123308085,0.9945467979313188,TOP2A,-0.12535292,0.9946061148814781,CCR8,-0.032608476,0.9967477841110466,LIF,-0.020537198,0.9979517131765093
126,TLR7,2.6852682,0.014710661251422959,CTSG,-0.014039529,0.9912279254780149,CD4:SK3|CD4|AHS0032|pAbO,2.9335723,0.007350266652106854,TGFB3,0.24485952,0.9944094931580924,MCM2,-0.19732028,0.9890212058781124,TIGIT,0.33522722,0.9521553943727472,IFNA1,-0.028487733,0.9942011695890447,CD4:SK3|CD4|AHS0032|pAbO,0.24403134,0.9981223867297049,STAT1,1.6392714,0.21274202817443658,F13A1,0.9073512,0.643299645592798,HMMR,-0.13669257,0.9945467979313188,RGS1,-0.12657553,0.9946061148814781,CXCR1,-0.032608476,0.9967477841110466,CXCR1,-0.020537198,0.9979517131765093
127,CD134:ACT35|TNFRSF4|AHS0013|pAbO,2.6645193,0.015495645067964275,CPA3,-0.014039529,0.9912279254780149,CXCL2,2.748276,0.012797437802957563,LTA,0.23190929,0.9944094931580924,FN1,-0.19825104,0.9890212058781124,PDIA4,0.31807953,0.9628089239563896,IL3,-0.037983645,0.9942011695890447,LRRC32,0.22787963,0.9981223867297049,CXCR6|CXCR6|AHS0148|pAbO,1.5050759,0.27540950306255607,ITGAM,0.8488664,0.6963357649466265,PMCH,-0.1435272,0.9945467979313188,FN1,-0.1284454,0.9946061148814781,LRRC32,-0.032608476,0.9967477841110466,CCR8,-0.020537198,0.9979517131765093
128,IL15,2.3382864,0.03693429282170905,CHI3L1,-0.014039529,0.9912279254780149,IL18,2.7155569,0.014059939201064029,RORC,0.2119822,0.9963051369118632,HMMR,-0.2086853,0.9842633463869184,KIT,0.28652582,0.9801047347168171,CCL20,-0.037983645,0.9942011695890447,AIM2,0.18867075,0.9981223867297049,IL4R,1.4770465,0.28925164474311604,IL1R2,0.8006316,0.7381399568840364,ZBED2,-0.1435272,0.9945467979313188,HMMR,-0.13520569,0.9946061148814781,KIT,-0.036684535,0.9967477841110466,LRRC32,-0.020537198,0.9979517131765093
