"","superkingdom","phylum","class","order","family","genus","species"
"species:Actinomyces sp. HPA0247","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. HPA0247"
"species:Actinomyces naeslundii","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces naeslundii"
"species:Neisseria sp. HMSC064E01","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sp. HMSC064E01"
"species:Haemophilus paraphrohaemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus paraphrohaemolyticus"
"species:Streptococcus sp. oral taxon 058","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 058"
"species:Streptococcus sp. HMSC071D03","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HMSC071D03"
"species:Ottowia sp. oral taxon 894","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ottowia","Ottowia sp. oral taxon 894"
"species:Simonsiella muelleri","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Simonsiella","Simonsiella muelleri"
"species:Cardiobacterium hominis","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium","Cardiobacterium hominis"
"species:Porphyromonas sp. oral taxon 278","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas sp. oral taxon 278"
"species:Leptotrichia sp. oral taxon 212","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia sp. oral taxon 212"
"species:Leptotrichia hofstadii","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia hofstadii"
"species:Corynebacterium durum","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium durum"
"species:Abiotrophia defectiva","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia defectiva"
"species:[Eubacterium] infirmum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis",NA,"[Eubacterium] infirmum"
"species:Streptococcus gordonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii"
"species:Butyrivibrio sp. CAG:318","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio sp. CAG:318"
"species:[Eubacterium] siraeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Eubacterium] siraeum"
"species:Acidaminococcus intestini","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini"
"species:Firmicutes bacterium CAG:83","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:83"
"species:Phocaeicola plebeius","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius"
"species:Dorea longicatena","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea longicatena"
"species:Firmicutes bacterium CAG:110","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:110"
"species:Akkermansia muciniphila","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila"
"species:Coprococcus comes","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus comes"
"species:Oscillibacter sp. CAG:241","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. CAG:241"
"species:Fusicatenibacter saccharivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans"
"species:Anaerobutyricum hallii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"species:Roseburia faecis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia faecis"
"species:[Ruminococcus] lactaris","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] lactaris"
